project,desc,category,priority,assign to
Smart Rest,tablet not connect,Support,high,parimal
Unique Plus,in pradip fabrics new year geerate,Support,high,Janvi
Smart Rest,Database Configuration,Support,high,Janvi
Smart Rest,new year generate n tablet issue n bill check n delete,Support,high,Janvi
Smart Rest,order no issue in tablet(tablet app sync),Support,high,Janvi
Smart Rest,in tablet menu issue,Support,high,Janvi
Smart Rest,21-22 year delete n party change n take backup,Support,high,Janvi
Unique Plus,software not open,Support,high,Janvi
Smart Rest,new year generate n print issue,Support,high,Janvi
Unique Plus,Installation,Installation,high,Janvi
superpos,token print  issue (printer install),Installation,high,Janvi
Smart Rest,old company delete(parcel n rest),Support,high,Janvi
Unique Plus,many issue (sale return issue),Support,high,Janvi
Smart Rest,software close(net issue)(on call),Support,high,Janvi
Smart Rest,new year generate n sr mobile,Support,high,Janvi
Smart Rest,kot print issue,Report,Low,Janvi
Unique Plus,in jeep company in sale return bill preview freight charge add,Support,high,Janvi
Smart Rest,print not show,Report,Low,Janvi
Smart Rest,purchase stock issue n bill isssue,Support,high,Janvi
Smart Rest,new  year generate,Support,high,Janvi
Unique Plus,Installation (two company on different server n differ pc),Installation,high,Janvi
Smart Rest,13 june cash bill amount n ledger not match,Report,Low,Janvi
Smart Rest,New Year Generate n Tablet bill print check n old bill delete,Report,Low,Janvi
superpos,software close,Support,high,Janvi
Smart Rest,bill problem(new book create n many changes in software) n report add,Report,Low,Janvi
Smart Rest,take backup for migration,Support,high,Janvi
Smart Rest,year ending n key delete n tablet check,Support,high,Janvi
superpos,bill n kot print issue(printer issue),Report,Low,Janvi
Smart Rest,new year generate in 2 company n check tablet n bill,Support,high,Janvi
Smart Rest,item add n ledger issue n bill issue (serial wise),Report,Low,Janvi
Smart Rest,in tablet company change,Support,high,Janvi
Unique Plus,in ledger cash book entry issue (cabr),Report,Low,Janvi
Smart Rest,software close,Support,high,Janvi
Smart Rest,software update,Support,high,Janvi
Unique Plus,purchase entry issue(tag nt print),Support,high,Janvi
Smart Rest,new Installation (pc format),Installation,high,Janvi
Unique Plus,balance sheet issue,Support,high,Pratik
Smart Rest,Installation,Installation,high,Janvi
Unique Plus,19-20 n 20-21 stock not match item add issue n update stock error n many issue,Support,high,Janvi
Unique Plus,itemwise ledger issue,Support,high,Janvi
Smart Rest,software update n give item add rights,Support,high,Janvi
Unique Plus,stock issue item update opening change n item edit issue,Support,high,Janvi
Smart Rest,Installation n make new company because format pc no backup,Installation,high,Janvi
Smart Rest,how to add opening rawmaterial amt,Support,high,Janvi
Unique Plus,new year generate n match stock,Support,high,Janvi
Unique Plus,bill issue n preview issue changes,Report,Low,Janvi
Smart Rest,take backup for digital menu,Support,high,Janvi
Unique Plus,item issue  n bill issue (rate issue),Report,Low,Janvi
Smart Rest,key delete n take backup(system slow)  n new year generate n tablet n all check,Support,high,Janvi
Smart Rest,"new year generate ,bill n tablet check",Support,high,Janvi
superpos,give superpos update,Support,high,Janvi
superpos,give superpos update in 2 branch,Support,high,Janvi
Smart Rest,sr mobile otp issue,Support,high,Janvi
Smart Rest,may sale report issue(tax calculation wrong),Report,Low,Janvi
Smart Rest,make new company same as vesu,Support,high,Janvi
Smart Rest,party name add,Support,high,Janvi
Unique Plus,in sale form tax calculation issue n ledger issue,Report,Low,Janvi
Unique Plus,bank book entry issue,Support,high,Pratik
Unique Plus,purchase issue add in 19-20 n update stock,Support,high,Janvi
Unique Plus,master issue,Support,high,parimal
Unique Plus,update year issue n purchase form not open entry stop,Support,high,Janvi
Unique Plus,purchase bill issue n yesterday issue,Report,Low,Janvi
Smart Rest,year ending,Support,high,Janvi
Smart Rest,2 printer install n in 3 tablet software install n in pc tablet service install,Installation,high,Janvi
Unique Plus,how to cash pending entry cash book entry n purchase entry delete n edit training n ledger ,Support,high,Janvi
Smart Rest,take gst no for account,Support,high,Janvi
Smart Rest,take gst no for account,Support,high,Janvi
Smart Rest,software transfer one pc to other / Installation n printer install,Installation,high,Janvi
Unique Plus,software transfer one pc to other / Installation,Installation,high,Janvi
Smart Rest,make new design report partywise month wise sale,Report,Low,Janvi
Smart Rest,bill print issue n new year generate,Report,Low,Janvi
Smart Rest,Database Configuration (2 Server uninstall n new install) n bill issue n sr mobile n report bill design changes,Installation,high,Janvi
Smart Rest,sr mobile close,Support,high,Janvi
Unique Plus,talk regarding march april may sale report issue in all branch,Report,Low,Janvi
Unique Plus,imei no not update in opening,Support,high,Janvi
Smart Rest,sr mobile otp issue temporary username password give,Support,high,Janvi
Smart Rest,sr mobile otp issue(ring road otp given),Support,high,Janvi
Unique Plus,gown grp rate issue,Support,high,Janvi
Smart Rest,printer issue n new sr mobile create,Support,high,Janvi
Unique Plus,shipping charge column add in sale addless n new year generate n in bill preview addless add in in sale form edit delete issue,Support,high,Janvi
Smart Rest,tablet and sr mobile,Support,high,Janvi
Unique Plus,march april n may sale report work,Report,Low,Janvi
Unique Plus,new year generte n Installation(server transfer),Installation,high,Janvi
Smart Rest,membership card register demo,Support,high,Janvi
Smart Rest,new login create for parcel in tablet,Support,high,Janvi
Unique Plus,network time out error,Support,high,Janvi
Unique Plus,march april n may sale report work,Report,Low,Janvi
Unique Plus,march april n may sale report work,Report,Low,Janvi
Unique Plus,march april n may sale report work,Report,Low,Janvi
Unique Plus,give excel reports,Report,Low,Janvi
Smart Rest,closing date issue n new sr mobile create for new company n give otp,Support,high,Janvi
Smart Rest,account create issue n delete issue,Support,high,Janvi
Unique Plus,rate issue(items gown grp),Support,high,Janvi
Unique Plus,discount issue in sale form addless add,Support,high,Janvi
Unique Plus,purchase date auto change issue ,Support,high,Janvi
Smart Rest,printer Installation issue(client side issue),Installation,high,Janvi
Smart Rest,in tab software not working(all itemmaster change),Support,high,Janvi
Unique Plus,purchase form search button  layout set,Support,high,Janvi
Unique Plus,item edit update issue n in purchase bill how to delete item training,Support,high,Janvi
Smart Rest,KEY,Support,high,Vaibhavi
Unique Plus,sale return issue (n preview issue n bill not save error),Support,high,Janvi
Unique Plus,item qty issue n ledger n settlement issue n gstr reports,Report,Med,Janvi
Unique Plus,bank issue(reconsilation issue 18-19 year) n update year issue,Support,high,Janvi
Smart Rest,party add n bill issue,Report,Low,Janvi
Unique Plus,what is where report,Report,Low,Janvi
Smart Rest,price change,Support,high,Vaibhavi
Unique Plus,in sale repx many changes addless add n discount add,Support,high,Janvi
Unique Plus,error software not open /Installation error,Installation,high,Janvi
Smart Rest,new year generate,Support,high,Janvi
Smart Rest,software close\database configuration,Support,high,Janvi
superpos,how to edit item rate on panel training n kot issue,Support,high,Janvi
Smart Rest,run time error,Support,high,Vaibhavi
Unique Plus,opening not edit update issue,Support,high,Janvi
Smart Rest,admin password change,Support,high,Janvi
Unique Plus,software close(data issue)(server currpt)(new Installation(2 server currpt))(29 july n 5th july 2019 data restore),Installation,high,Janvi
Smart Rest,bill reprint option n not kot add in generated bill rights in manger login,Report,Low,Janvi
Unique Plus,approval sale n in sale form preview issue n 19-20n 20-21 report show issue n item master issue,Report,Low,Janvi
Smart Rest,year ending n key n item add  n customer add training  sr mobile,Support,high,Janvi
Unique Plus,last year stock n new year stock not match issue n acc issue,Support,high,Janvi
Smart Rest,rawmaterial entry issue (mateial made training),Support,high,Janvi
Smart Rest,bill issue,Report,Low,Pratik
Smart Rest,KEY,Support,high,Vaibhavi
Smart Rest,kitchen printer issue,Report,Low,Janvi
Unique Plus,software close n item issue ,Support,high,Janvi
Smart Rest,gst no add (till 19 june data delete),Support,high,Janvi
Unique Plus,tax invoice n addless set in 2 book n credit book entry n bank book entry training n ledger issuue,Support,high,Janvi
Unique Plus,new year generate n entry issue(year extend),Support,high,Janvi
Unique Plus,new Installation (server transfer),Installation,high,Janvi
Unique Plus,departments add,Support,high,Janvi
Smart Rest,branch issue n report not open error,Support,high,Janvi
Smart Rest,discount issue n waiter add n billprintout remark option add,Support,high,Janvi
Unique Plus,credit bill entry issue(training) n ledger issue,Support,high,Janvi
Smart Rest,make new company setup n Installation,Installation,high,Janvi
Smart Rest,Installation (pc format)(no backup),Installation,high,Janvi
Smart Rest,Installation (pc format)(no backup),Installation,high,Janvi
Smart Rest,Installation ,Installation,high,Janvi
superpos,kot procedure alter n check preview,Report,Low,Janvi
Smart Rest,gst no add n gst add,Report,Med,Janvi
Smart Rest,Installation (pc format)(no backup),Installation,high,Janvi
Smart Rest,item add  training (new menu),Support,high,Pratik
Smart Rest,only talk report regarding (design report),Report,Low,Janvi
Smart Rest,key n new year generate on call (lovestsa food court) n company name changes,Support,high,Janvi
Unique Plus,item not edit update issue / image not upload n report repx changes,Support,high,Janvi
Unique Plus,reconsilation issue,Support,high,Janvi
Smart Rest,"bank book issue ,gstr reports (json) n tax slab issue",Support,high,Janvi
Smart Rest,key delete,Support,high,Vaibhavi
Unique Plus,item stock update n check,Support,high,Janvi
Unique Plus,in bill cgst n sgst n igst add in preview,Report,Med,Janvi
Smart Rest,in bill prefix changes n bill issue n procedure changes,Report,Low,Janvi
Unique Plus,bill issue bill not save error (payment option issue ) in 2 book n discount issue,Support,high,Janvi
Smart Rest,"running table,running bill n salebook layout set",Report,Low,Janvi
Smart Rest,31 march bill issue n new year generate n tablet ,Report,Low,Janvi
Smart Rest,bill not edit update issue (waiter captain issue),Report,Low,Janvi
Smart Rest,purchase n store daily use report issue,Report,Low,Janvi
Unique Plus,in bank book bank not show n journal entry issue,Support,high,Janvi
Smart Rest,tablet order issue\ print issue,Report,Low,Janvi
Unique Plus,bank entry issue n sms related,Support,high,Janvi
Smart Rest,bill issue \ bill changes,Report,Low,Janvi
Smart Rest,give update \ a5 size bill,Report,Low,Janvi
Smart Rest,data issue n tablet n kds issue in sync error,Support,high,Janvi
Unique Plus,sale return n voucher issue,Support,high,Janvi
Unique Plus,software close,Support,high,Janvi
Smart Rest,cancel report issue,Report,Low,Janvi
Smart Rest,bill modify,Report,Low,Janvi
Smart Rest,software close (error)\ Installation,Installation,high,Janvi
Smart Rest,item add training,Support,high,Janvi
Unique Plus,sales man wise report issue,Report,Low,Janvi
Smart Rest,repx changes n hold bill issue,Report,Low,Janvi
superpos,software close,Support,high,Janvi
Smart Rest,Installation,Installation,high,Janvi
Smart Rest,item grp delete n some changes,Support,high,Janvi
Smart Rest,bill modify,Report,Low,Janvi
Smart Rest,tablet add,Support,high,Janvi
Unique Plus,purchase return entry issue,Support,high,Janvi
Smart Rest,sr mobile otp issue,Support,high,Saloni
Smart Rest,take backup,Support,high,Janvi
Smart Rest,item grps n items add,Support,high,Janvi
Unique Plus,sale bill print issue (a5 bill),Report,Low,Janvi
Unique Plus,error / sale bill not add,Support,high,Janvi
Unique Plus,group add n purchase excel import n sale bill issue,Report,Low,Janvi
Smart Rest,captain report issue n sale issue,Report,Low,Janvi
Smart Rest,in tablet software issue (item not show),Support,high,Janvi
Smart Rest,give design report n add less set n repx changes,Report,Low,Janvi
Unique Plus,bill print not show (printer configuration) n sale bill not save error,Report,Low,Janvi
Unique Plus,bill print error (not update),Support,high,Janvi
Smart Rest,sr mobile close,Support,high,Janvi
Unique Plus,software slow,Support,high,Janvi
Unique Plus,subquery error,Support,high,Janvi
Smart Rest,KEY,Support,high,Vaibhavi
Smart Rest,captain waiter report issue n captain add login add in sns,Report,Low,Janvi
Unique Plus,subquery error,Support,high,Janvi
Smart Rest,bill cancel n repx changes(roomwise report),Report,Low,Janvi
Smart Rest,bill issue,Report,Low,Janvi
Smart Rest,raw material entry training,Support,high,Janvi
Smart Rest,sr mobile (vinayak n mahavir food add),Support,high,Janvi
Smart Rest,bil edit,Report,Low,Janvi
Smart Rest,store related,Support,high,Janvi
Smart Rest,sale report n utility training (billview),Report,Low,Janvi
Smart Rest,delete bill issue,Report,Low,Janvi
Smart Rest,parcel rate change n report issue,Report,Low,Janvi
Smart Rest,sr mobile,Support,high,Janvi
Smart Rest,address change,Report,Low,Janvi
Smart Rest,sale issue (data transfer n merge),Support,high,Janvi
